City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,lewiston orchards,46.3804,-116.9754,33.06,23,0,6.69,US,1691799846
314,rampura,30.25,75.2333,28.96,68,23,2.03,IN,1691799846
315,fang,19.9169,99.2145,22.17,94,100,0.79,TH,1691799846
316,lazaro cardenas,17.9583,-102.2,30.4,70,56,5.07,MX,1691799847
317,vadso,70.0744,29.7487,17.49,82,40,2.06,NO,1691799847
318,palmer,42.1584,-72.3287,22.75,67,20,2.06,US,1691799848
319,priozersk,61.0393,30.1291,17.75,92,100,1.41,RU,1691799848
320,sultanpur,26.2667,82.0667,27.94,69,100,3.1,IN,1691799848
321,bestensee,52.25,13.65,20.27,78,0,2.06,DE,1691799849
322,neryungri,56.6709,124.6491,19.05,70,100,3.76,RU,1691799849
323,lesnoy,57.6198,63.0784,8.11,79,38,2.73,RU,1691799849
324,curuzu cuatia,-29.7917,-58.0546,12.88,54,63,4.35,AR,1691799673
325,saint-pierre,-21.3393,55.4781,22.54,68,100,2.06,RE,1691799849
326,el colomo,19.05,-104.25,32.99,65,62,3.67,MX,1691799849
327,patong,7.8961,98.2966,29.45,74,26,5.26,TH,1691799850
328,sarykemer,43.0,71.5,18.71,51,0,2.15,KZ,1691799850
329,wuwei,37.9281,102.6414,23.93,40,1,1.58,CN,1691799850
330,ouani,-12.1322,44.4258,23.71,77,10,1.79,KM,1691799850
331,kingston,17.997,-76.7936,30.53,74,20,7.72,JM,1691799836
332,bac lieu,9.285,105.7244,27.75,78,3,5.16,VN,1691799850
333,northam,51.0333,-4.2167,16.48,93,62,6.67,GB,1691799851
334,waite park,45.5572,-94.2242,25.57,54,20,5.66,US,1691799851
335,voi,-3.3945,38.563,19.03,78,10,3.26,KE,1691799851
336,iskateley,67.6803,53.1512,13.82,67,6,3.39,RU,1691799698
337,polyarnyy,69.1989,33.4478,16.03,65,97,3.61,RU,1691799851
338,porto novo,6.4965,2.6036,24.9,91,56,2.33,BJ,1691799852
339,genhe,50.7833,121.5167,18.45,86,99,1.66,CN,1691799853
340,ladario,-19.0047,-57.6017,28.23,32,67,1.05,BR,1691799853
341,edd,13.9297,41.6925,32.42,56,94,3.0,ER,1691799853
342,hammerfest,70.6634,23.6821,17.25,55,33,5.66,NO,1691799650
343,abaete,-19.16,-45.4458,22.42,40,39,0.49,BR,1691799853
344,shalqar,47.8333,59.6,18.81,42,7,3.79,KZ,1691799597
345,bahia blanca,-38.7196,-62.2724,7.12,49,49,2.24,AR,1691799711
346,zolotonosha,49.6689,32.0377,16.34,88,85,4.97,UA,1691799854
347,sao sepe,-30.1606,-53.5653,14.66,88,41,2.55,BR,1691799831
348,jinxiang,27.4327,120.6062,28.21,79,28,1.81,CN,1691799854
349,dzhambeyty,50.2536,52.595,22.15,44,5,3.34,KZ,1691799560
350,hamilton,39.1834,-84.5333,29.13,63,20,4.12,US,1691799263
351,dwarka,22.2394,68.9678,27.02,82,100,9.37,IN,1691799855
352,enewetak,11.3474,162.3373,28.49,75,94,6.73,MH,1691799855
353,guerrero negro,27.9769,-114.0611,23.25,74,23,9.06,MX,1691799559
354,vernon,50.2581,-119.2691,31.63,32,78,2.17,CA,1691799855
355,qobustan,40.0824,49.412,27.21,50,0,0.63,AZ,1691799855
356,purpe,64.4803,76.6897,5.35,55,0,10.38,RU,1691799856
357,puerto deseado,-47.7503,-65.8938,3.44,64,50,12.65,AR,1691799856
358,san jacinto,33.7839,-116.9586,32.74,51,3,4.47,US,1691799856
359,moree,-29.4667,149.85,19.07,32,16,3.5,AU,1691799856
360,konarka,19.9,86.1167,27.22,78,98,4.46,IN,1691799856
361,tal'menka,53.8183,83.5677,12.99,98,100,1.6,RU,1691799856
362,taro,-8.3862,115.28,21.03,77,51,0.72,ID,1691799857
